Time ,Stopage
5:10,University Campus
5:10,Lalbag
5:12,Khamar Mor
5:14,Chartola mor
5:16,Bikon Mor
5:18,Shapla Chattor
5:20,Ershad Mor
5:23,GoneshPur
5:26,Bus Terminal
5:31,Prime Hospital
5:33,Sultan More
5:36,Ghagot
5:40,Nazir Hat
5:44,Lahiri Hat
5:47,Miler Par
5:50,Mokter Para
5:54,Chengmari
6:00,Paker matha
6:04,Bodorgonj
6:04,Bodorgonj
6:08,Paker matha
6:10,Chengmari
6:14,Mokter Para
6:17,Miler Par
6:20,Lahiri Hat
6:24,Nazir Hat
6:32,Ghagot
6:34,Sultan More
6:36,Prime Hospital
6:39,Bus Terminal
6:41,Pathagar
6:43,Dorshana Mor
6:46,Modern Mor
6:50,University Campus
