Time ,Stopage
8:10,University Campus
8:13,Modern Mor
8:16,Dorshana Mor
8:18,Pathagar
8:20,Bus Terminal
8:22,Prime Hospital
8:24,Sultan More
8:26,Ghagot
8:30,Nazir Hat
8:34,Lahiri Hat
8:37,Miler Par
8:40,Mokter Para
8:44,Chengmari
8:46,Paker matha
8:50,Bodorgonj
9:00,Bodorgonj
9:04,Paker matha
9:06,Chengmari
9:10,Mokter Para
9:13,Miler Par
9:16,Lahiri Hat
9:20,Nazir Hat
9:24,Ghagot
9:26,Sultan More
9:28,Prime Hospital
9:31,Bus Terminal
9:37,GoneshPur
9:40,Ershad Mor
9:44,Shapla Chattor
9:46,Bikon Mor
9:48,Chartola mor
9:50,Khamar Mor
9:55,Lalbag
10:00,University Campus
